"season","mnth","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
2,3,1,1,1,0.445833,0.43875,0.477917,0.386821,5558
4,12,5,1,1,0.281667,0.294192,0.642917,0.131229,5611
3,7,0,0,2,0.716667,0.668575,0.6825,0.228858,4649
3,9,2,1,2,0.623333,0.565067,0.8725,0.357587,4073
1,2,2,1,1,0.359167,0.353525,0.395833,0.193417,4363
3,8,5,1,1,0.7,0.659733,0.76125,0.0839625,4661
1,12,6,0,1,0.3025,0.299242,0.5425,0.190304,1011
1,2,6,0,2,0.264167,0.272725,0.779583,0.121896,2832
1,2,2,1,1,0.182222,0.186033,0.577778,0.195683,1450
2,6,1,1,2,0.720833,0.659721,0.587917,0.207713,6664
3,7,2,1,1,0.776667,0.747479,0.650417,0.1306,4541
4,9,3,1,1,0.635,0.596613,0.630833,0.2444,7733
2,4,3,1,1,0.595,0.564392,0.614167,0.241925,3944
1,1,0,0,1,0.138333,0.116175,0.434167,0.36195,822
3,8,5,1,1,0.710833,0.656567,0.630833,0.184696,4866
4,11,4,1,2,0.321667,0.324492,0.620417,0.152987,5445
1,3,1,1,1,0.466667,0.459592,0.489167,0.207713,5298
4,10,0,0,1,0.521667,0.508204,0.640417,0.278612,6639
2,5,6,0,2,0.520833,0.500629,0.9225,0.13495,3409
4,11,1,1,2,0.380833,0.375621,0.623333,0.235067,5499
1,1,6,0,1,0.18,0.183087,0.4575,0.187183,2493
3,7,0,0,1,0.83,0.794829,0.550833,0.169171,3606
3,6,5,1,1,0.724167,0.656583,0.573333,0.222025,4991
3,7,2,1,1,0.750833,0.70645,0.655,0.211454,7592
4,11,1,1,1,0.503478,0.490122,0.743043,0.142122,3867
1,12,6,0,1,0.41,0.414121,0.615833,0.220154,2485
2,5,4,1,1,0.459167,0.441917,0.444167,0.295392,4433
1,2,5,1,1,0.189091,0.213509,0.506364,0.10855,1746
3,6,1,1,1,0.715833,0.654042,0.504167,0.300383,6779
3,8,4,1,2,0.684167,0.645854,0.771667,0.210833,3542
2,5,2,1,2,0.561667,0.538529,0.837917,0.277354,4123
3,9,4,1,3,0.633913,0.555361,0.939565,0.192748,1842
1,3,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
3,7,4,1,1,0.776667,0.739263,0.596667,0.284813,6861
2,4,2,1,1,0.466667,0.461483,0.396667,0.100133,6772
4,10,5,1,1,0.615,0.580187,0.6275,0.10635,8156
4,12,6,0,1,0.299167,0.310604,0.612917,0.0957833,3614
2,5,6,0,1,0.52,0.512621,0.54125,0.16045,4714
1,1,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
4,9,0,0,1,0.526667,0.517663,0.583333,0.134958,6889
1,3,0,0,1,0.3325,0.32575,0.47375,0.207721,2471
2,5,0,0,1,0.620833,0.583967,0.530417,0.254367,7129
1,1,6,0,2,0.173333,0.174875,0.83125,0.222642,1301
3,7,5,1,1,0.781667,0.734217,0.594583,0.152992,6904
4,11,6,0,1,0.375833,0.385087,0.681667,0.0684208,3068
2,4,1,1,2,0.464167,0.457696,0.57,0.171638,5572
2,6,6,0,1,0.631667,0.594708,0.504167,0.166667,7702
3,7,6,0,1,0.738333,0.667308,0.444583,0.115062,5119
1,2,2,1,1,0.287826,0.295113,0.594348,0.205717,3777
4,9,3,1,2,0.635,0.575158,0.84875,0.148629,3907
2,4,3,1,2,0.4125,0.417283,0.819167,0.250617,2162
2,4,5,1,2,0.336667,0.321954,0.729583,0.219521,1683
3,8,2,1,1,0.649167,0.601025,0.67375,0.0727708,7006
2,6,3,1,1,0.626667,0.587754,0.471667,0.167912,5180
2,5,6,0,1,0.6,0.566908,0.45625,0.083975,8294
3,8,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
2,3,5,1,1,0.264167,0.256312,0.495,0.230725,2210
2,3,2,1,1,0.323333,0.315654,0.29,0.187192,5102
2,3,2,1,1,0.441667,0.440642,0.624583,0.22575,2703
4,9,6,0,2,0.606667,0.564412,0.8625,0.0783833,5423
3,8,6,0,2,0.661667,0.618696,0.712917,0.244408,6053
3,7,1,1,1,0.781667,0.702038,0.447083,0.195267,6227
2,5,1,1,2,0.598333,0.565667,0.81125,0.233204,4359
4,11,3,1,3,0.456667,0.451988,0.93,0.136829,1817
4,11,2,1,1,0.280833,0.281567,0.567083,0.173513,5686
2,4,6,0,3,0.430833,0.425492,0.888333,0.340808,795
4,10,2,1,1,0.468333,0.460846,0.558333,0.182221,7534
2,5,2,1,2,0.611667,0.576404,0.794583,0.147392,5115
3,7,3,1,1,0.72,0.685633,0.743333,0.149883,4629
4,9,2,1,2,0.636667,0.574525,0.885417,0.118171,4120
4,12,5,1,1,0.314167,0.331433,0.625833,0.100754,3940
3,9,0,0,1,0.653333,0.609229,0.71375,0.115054,5046
3,7,2,1,1,0.818333,0.755683,0.505833,0.114429,6786
1,1,4,1,1,0.19,0.190038,0.4975,0.220158,3292
4,10,4,1,2,0.5225,0.512625,0.728333,0.236937,7509
3,9,1,1,1,0.583333,0.565654,0.50375,0.258713,7525
4,9,6,0,1,0.5425,0.530296,0.542917,0.227604,8555
2,5,0,0,1,0.604167,0.5745,0.749583,0.148008,4660
2,5,3,1,1,0.564167,0.537896,0.797083,0.138058,6169
1,1,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
4,9,5,1,2,0.609167,0.522125,0.9725,0.0783667,2395
4,12,6,0,1,0.324167,0.338383,0.650417,0.10635,5047
1,2,1,1,1,0.2225,0.227913,0.41125,0.167283,3422
3,6,6,0,1,0.765,0.687508,0.60125,0.161071,5687
1,1,5,1,2,0.425,0.415383,0.74125,0.342667,3456
2,3,6,0,2,0.5025,0.486733,0.885417,0.192783,3372
4,11,1,1,3,0.4475,0.445062,0.91,0.138054,2765
4,11,2,1,1,0.408333,0.412246,0.721667,0.0690375,4205
1,12,6,0,2,0.253333,0.2424,0.752917,0.124383,1341
4,12,5,1,1,0.290833,0.317542,0.695833,0.0827167,3620
2,5,4,1,1,0.68,0.631329,0.492917,0.195279,7338
1,1,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
4,11,6,0,1,0.326667,0.323854,0.519167,0.189062,3926
1,2,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
4,10,0,0,2,0.415833,0.419813,0.708333,0.141162,3510
2,5,3,1,1,0.660833,0.615542,0.69625,0.154233,4978
4,10,3,1,1,0.5875,0.558721,0.63625,0.0727792,7693
1,12,6,0,1,0.265833,0.236113,0.44125,0.407346,1749
1,3,0,0,1,0.361739,0.35967,0.476957,0.222587,4911
3,9,3,1,1,0.673333,0.6269,0.697083,0.1673,4785
2,3,2,1,1,0.3025,0.292908,0.314167,0.226996,2425
3,7,2,1,1,0.780833,0.70265,0.492083,0.126237,6660
1,1,1,0,1,0.19,0.190663,0.5225,0.231358,2298
2,5,3,1,2,0.55,0.527158,0.87,0.201492,3855
3,9,3,1,1,0.599167,0.570075,0.577083,0.131846,7870
3,9,6,0,1,0.669167,0.633213,0.716667,0.185325,4484
2,4,1,1,2,0.321667,0.301125,0.766667,0.303496,3214
2,4,5,1,1,0.526667,0.515775,0.694583,0.149871,7290
3,7,6,0,1,0.686667,0.638263,0.585,0.208342,5923
4,12,1,1,2,0.393333,0.4015,0.907083,0.0982583,4585
4,11,3,1,2,0.295833,0.274621,0.5475,0.304108,5035
3,8,4,1,1,0.695833,0.637008,0.635833,0.0845958,7765
3,8,4,1,1,0.719167,0.654688,0.519167,0.141796,7605
3,6,0,0,1,0.743333,0.674254,0.479167,0.145525,6891
1,2,6,0,3,0.224167,0.210867,0.73125,0.289796,2169
3,9,5,1,2,0.65,0.578946,0.897917,0.124379,3544
2,6,1,1,1,0.635,0.601654,0.494583,0.30535,5020
3,8,0,0,2,0.635833,0.603554,0.711667,0.08645,4549
2,4,4,1,1,0.4375,0.433696,0.602917,0.162312,3141
3,8,6,0,2,0.716667,0.676154,0.755,0.22825,4294
2,4,1,1,1,0.606667,0.5745,0.776667,0.185333,4073
4,11,5,0,1,0.324167,0.306817,0.44625,0.314675,3368
2,4,0,0,1,0.5,0.492425,0.275833,0.232596,5169
4,12,2,1,1,0.475833,0.469054,0.73375,0.174129,6606
3,9,1,1,1,0.644348,0.60213,0.692174,0.088913,4713
4,11,6,0,2,0.343333,0.323846,0.49125,0.270529,5138
3,9,2,1,2,0.561667,0.532217,0.88125,0.134954,3641
4,11,5,1,1,0.298333,0.323867,0.649583,0.0584708,5668
1,2,5,1,1,0.313333,0.309346,0.526667,0.178496,4151
1,3,1,1,1,0.261739,0.238461,0.551304,0.341352,1872
4,12,0,0,2,0.3625,0.369938,0.83875,0.100742,3786
4,10,1,1,1,0.4875,0.482942,0.568333,0.0814833,7058
4,11,0,0,1,0.3425,0.337746,0.692917,0.227612,4669
1,3,0,0,2,0.376522,0.366252,0.948261,0.343287,605
2,5,2,1,2,0.613333,0.577021,0.659583,0.156096,5740
1,1,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
3,8,0,0,1,0.769167,0.731079,0.6525,0.290421,5464
2,6,3,1,2,0.764167,0.720967,0.677083,0.207092,3974
4,10,1,1,1,0.534167,0.510725,0.579583,0.175379,4570
3,7,6,0,1,0.733333,0.664158,0.609167,0.167912,5336
3,7,4,1,1,0.8275,0.761367,0.457917,0.194029,6241
3,7,1,1,2,0.710833,0.654054,0.683333,0.180975,6569
1,3,6,0,2,0.414167,0.413492,0.62125,0.161079,4066
1,1,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
2,4,2,1,2,0.505833,0.489258,0.665833,0.157971,3204
4,10,3,1,2,0.3575,0.3611,0.666667,0.166667,5566
3,8,6,0,2,0.68,0.635556,0.85,0.375617,1115
1,2,1,1,1,0.282609,0.296426,0.622174,0.1538,3784
4,10,6,0,1,0.554167,0.538521,0.664167,0.268025,7965
3,9,5,1,2,0.643333,0.604808,0.727083,0.139929,4727
2,3,4,1,1,0.494167,0.482304,0.439167,0.31965,6133
4,11,6,0,1,0.278333,0.248742,0.404583,0.376871,2277
3,7,1,1,1,0.746667,0.703925,0.65125,0.215804,4458
2,6,5,1,1,0.755,0.703292,0.605,0.140554,4586
4,10,4,1,1,0.435,0.431167,0.463333,0.181596,7570
1,1,1,1,2,0.218333,0.243058,0.91125,0.110708,2432
2,4,4,1,1,0.435,0.431163,0.374167,0.219529,6457
1,3,5,1,2,0.261667,0.255679,0.610417,0.203346,1944
1,2,5,1,1,0.343333,0.351629,0.634583,0.205846,4154
2,4,3,1,1,0.348696,0.337274,0.469565,0.295274,4862
4,12,3,1,3,0.41,0.400246,0.970417,0.266175,705
1,1,3,1,1,0.294167,0.294821,0.64375,0.161071,4270
4,11,5,1,1,0.368333,0.378779,0.56875,0.148021,3910
1,3,5,1,2,0.410833,0.397083,0.407083,0.4148,4569
3,7,3,1,1,0.768333,0.74685,0.707083,0.113817,4332
2,5,0,0,2,0.451667,0.448204,0.762083,0.106354,3351
2,5,2,1,1,0.7225,0.672992,0.684583,0.2954,5743
4,12,0,0,1,0.330833,0.3491,0.775833,0.0839583,3485
3,9,6,0,1,0.65,0.610488,0.646667,0.283583,8395
4,9,0,0,1,0.529167,0.518933,0.467083,0.223258,7907
2,5,4,1,2,0.530833,0.510742,0.829583,0.108213,4575
2,5,2,1,2,0.616667,0.582079,0.697083,0.342667,4451
3,7,4,1,2,0.815,0.826371,0.69125,0.222021,3784
4,10,3,1,2,0.6575,0.599133,0.79375,0.0665458,7572
2,5,5,1,1,0.536667,0.529042,0.719583,0.125013,4917
1,1,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
4,12,4,1,2,0.4225,0.412237,0.634167,0.268042,3709
3,9,4,1,2,0.696667,0.655329,0.810417,0.142421,6203
2,5,1,1,1,0.5775,0.550512,0.787917,0.126871,3958
4,12,1,1,1,0.238333,0.270196,0.670833,0.06345,3310
3,9,4,1,1,0.655,0.614921,0.639167,0.141796,5115
2,4,6,0,1,0.4375,0.426129,0.254167,0.274871,6857
4,10,6,0,3,0.254167,0.227913,0.8825,0.351371,627
2,3,0,0,2,0.253043,0.250339,0.493913,0.1843,1693
1,1,4,1,2,0.3825,0.381938,0.802917,0.180967,4097
4,9,5,1,1,0.564167,0.544829,0.6475,0.206475,5202
4,12,2,1,1,0.410833,0.409708,0.66625,0.221404,5557
3,7,5,1,2,0.731667,0.667933,0.485833,0.08085,7499
2,6,6,0,1,0.583333,0.566288,0.549167,0.186562,8120
3,8,5,1,2,0.7025,0.6471,0.615,0.0721458,7582
3,8,6,0,2,0.6925,0.638267,0.732917,0.206479,6299
1,2,0,0,2,0.28,0.265788,0.515833,0.253112,2689
3,7,4,1,1,0.75,0.686871,0.65125,0.1592,4592
3,7,5,1,1,0.848333,0.840896,0.580417,0.1331,3387
2,4,0,0,2,0.425833,0.417287,0.67625,0.172267,6041
4,10,2,1,2,0.566667,0.546096,0.80875,0.143042,4563
3,6,3,1,1,0.733333,0.693829,0.7075,0.172262,4507
3,8,3,1,1,0.656667,0.611121,0.597917,0.0833333,5058
4,11,0,0,1,0.325833,0.329538,0.532917,0.179108,5107
2,5,1,0,1,0.733333,0.671092,0.685,0.131225,4098
1,12,0,0,1,0.255833,0.2317,0.483333,0.350754,1796
2,6,2,1,1,0.604167,0.591546,0.507083,0.269283,4891
4,10,0,0,1,0.511667,0.503154,0.486667,0.281717,5041
1,12,0,0,1,0.274783,0.279961,0.681304,0.155091,754
4,11,0,0,1,0.440833,0.43055,0.458333,0.281721,3717
3,6,0,0,1,0.68,0.637629,0.513333,0.0945333,5305
3,8,5,1,2,0.765833,0.722867,0.6425,0.215792,7175
4,10,4,1,2,0.55,0.529688,0.800417,0.124375,7359
2,3,3,1,2,0.346957,0.337939,0.839565,0.234261,2121
4,10,1,1,2,0.561667,0.53915,0.7075,0.296037,5875
1,2,1,0,1,0.28,0.273391,0.507826,0.229083,3129
2,6,4,1,2,0.628333,0.595346,0.688333,0.206471,3767
1,1,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
4,10,0,0,1,0.319167,0.321329,0.62375,0.176617,3331
2,4,6,0,2,0.376667,0.377504,0.489583,0.129975,4220
1,2,3,1,1,0.348333,0.351629,0.53125,0.1816,4169
3,9,6,0,1,0.66,0.607962,0.75375,0.153608,5345
2,6,2,1,2,0.540833,0.525892,0.613333,0.209575,7001
4,11,3,1,1,0.289167,0.281563,0.552083,0.199625,5495
2,6,3,1,1,0.655833,0.611117,0.582083,0.343279,7421
3,7,4,1,1,0.680833,0.635104,0.47625,0.240667,5084
2,4,5,1,1,0.403333,0.390767,0.377083,0.300388,6460
3,7,6,0,1,0.804167,0.728537,0.465833,0.168537,4475
2,5,5,1,1,0.681667,0.637008,0.65375,0.240679,4679
1,1,1,1,1,0.269167,0.262625,0.400833,0.215792,3624
2,6,1,1,2,0.635,0.595346,0.74625,0.155475,4010
1,3,6,0,1,0.4725,0.466525,0.379167,0.368167,3117
3,7,3,1,1,0.775,0.690667,0.402917,0.183463,4656
4,11,4,1,1,0.352174,0.341891,0.333478,0.347835,5315
1,1,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
2,4,6,0,1,0.495,0.487996,0.502917,0.190917,7460
2,5,0,0,1,0.6675,0.61555,0.81875,0.213938,4788
1,2,2,1,1,0.266087,0.254274,0.314348,0.291374,1815
4,11,4,1,1,0.408333,0.405921,0.702083,0.136817,3974
1,1,0,0,2,0.363478,0.353739,0.696087,0.248539,801
3,8,1,1,1,0.765,0.703283,0.592083,0.192175,4326
3,6,3,1,1,0.728333,0.654688,0.497917,0.261821,5225
4,10,5,1,1,0.4275,0.423596,0.574167,0.221396,4304
2,4,6,0,1,0.57,0.542921,0.682917,0.283587,6624
1,1,2,1,1,0.15,0.126275,0.44125,0.365671,2236
1,2,3,1,2,0.256667,0.266421,0.722917,0.133721,2802
2,5,4,1,2,0.56,0.537242,0.768333,0.133696,6421
4,10,6,0,1,0.521667,0.513242,0.70125,0.0454042,5409
4,10,1,1,3,0.44,0.4394,0.88,0.3582,22
3,8,6,0,2,0.685833,0.645858,0.729583,0.211454,4150
3,8,0,0,1,0.710833,0.675525,0.77,0.248754,3873
1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,1951
4,10,2,1,2,0.5325,0.522721,0.701667,0.110087,4748
3,6,3,1,1,0.6975,0.640792,0.36,0.271775,7335
1,2,0,0,1,0.285217,0.27733,0.407826,0.223235,1812
1,1,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
1,1,4,1,2,0.341667,0.35605,0.769583,0.0733958,4075
4,10,0,0,2,0.4775,0.467771,0.694583,0.398008,4459
2,4,4,1,1,0.4675,0.462742,0.540417,0.1107,3267
2,5,2,1,2,0.66,0.604813,0.740833,0.207092,4492
3,7,1,1,1,0.741667,0.690017,0.694167,0.138683,6966
4,11,2,1,2,0.53,0.507579,0.68875,0.199633,4195
3,9,4,1,1,0.6125,0.579558,0.637083,0.0827208,7804
1,3,5,1,2,0.435833,0.436229,0.842083,0.113192,4378
4,11,3,1,1,0.296667,0.289762,0.50625,0.210821,5260
3,7,0,0,1,0.815833,0.750629,0.51875,0.168529,5531
3,8,5,1,2,0.715833,0.667942,0.715833,0.238813,5786
2,5,5,1,1,0.68,0.627529,0.747083,0.14055,6734
3,8,4,1,1,0.755833,0.699508,0.620417,0.1561,7286
2,5,2,1,1,0.5325,0.522721,0.489167,0.115671,4803
3,9,1,0,2,0.673333,0.625646,0.790417,0.212696,3351
4,12,3,1,1,0.3325,0.342162,0.625417,0.184092,5267
1,2,6,0,2,0.233333,0.243058,0.929167,0.161079,1005
2,5,1,1,2,0.573333,0.5499,0.789583,0.212692,2843
1,2,2,1,1,0.354167,0.361104,0.49625,0.147379,4375
2,4,4,1,2,0.6175,0.578929,0.700833,0.320908,4058
4,11,3,1,1,0.353333,0.364892,0.61375,0.103246,5146
1,2,3,1,1,0.395833,0.392667,0.567917,0.234471,4773
2,5,2,1,2,0.581667,0.557471,0.685833,0.296029,5728
4,11,4,1,2,0.38,0.373721,0.813333,0.189067,2933
3,7,5,1,1,0.838333,0.785967,0.5425,0.174138,3846
3,8,3,1,1,0.706667,0.654037,0.619583,0.169771,7347
2,4,0,0,1,0.378333,0.378767,0.48,0.182213,3249
2,6,6,0,1,0.710833,0.648367,0.437083,0.144287,7498
1,3,5,1,1,0.54,0.527009,0.525217,0.231017,3239
1,2,0,0,1,0.1275,0.101658,0.464583,0.409212,1529
1,2,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
2,5,6,0,2,0.621667,0.584608,0.756667,0.152992,6883
1,2,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
2,4,2,1,2,0.414167,0.39835,0.642083,0.388067,1795
3,6,5,1,1,0.7775,0.724121,0.57375,0.182842,5823
1,12,1,1,2,0.231304,0.2589,0.791304,0.0772304,920
2,5,4,1,1,0.505833,0.491783,0.552083,0.314063,6572
4,11,6,0,1,0.329167,0.324483,0.502083,0.224496,3663
3,8,0,0,1,0.707059,0.647959,0.561765,0.304659,4334
2,4,1,1,2,0.595652,0.565217,0.716956,0.324474,3348
4,12,2,1,2,0.353333,0.338363,0.596667,0.296037,5501
1,12,0,0,1,0.245833,0.259471,0.515417,0.133083,1787
1,1,6,0,2,0.344167,0.363625,0.805833,0.160446,985
4,11,5,1,1,0.345,0.347204,0.524583,0.171025,5698
2,6,4,1,2,0.808333,0.757579,0.568333,0.149883,3915
2,5,5,1,1,0.533333,0.520833,0.360417,0.236937,7030
3,8,5,1,2,0.685,0.633221,0.722917,0.139308,4153
2,6,3,1,1,0.775833,0.727279,0.622083,0.136817,4401
3,9,2,1,1,0.650833,0.603554,0.7125,0.141804,4763
3,6,4,1,2,0.728333,0.693833,0.703333,0.238804,4790
3,9,1,0,1,0.7075,0.661629,0.790833,0.151121,6034
1,1,0,0,1,0.3375,0.340258,0.465,0.191542,3425
3,8,4,1,2,0.71,0.664788,0.7575,0.19715,4576
4,11,1,0,1,0.485,0.475383,0.741667,0.173517,6269
1,1,4,1,1,0.265833,0.278412,0.524167,0.129987,3272
3,8,1,1,1,0.771667,0.703292,0.550833,0.156717,4266
3,9,2,1,1,0.5775,0.554292,0.52,0.0920542,7767
4,10,3,1,3,0.543333,0.517717,0.90625,0.24815,2416
1,2,0,0,1,0.343478,0.351109,0.68,0.125248,2402
2,6,3,1,1,0.554167,0.542292,0.61125,0.077125,7055
2,4,6,0,2,0.3425,0.341529,0.8775,0.133083,2455
1,2,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
3,7,0,0,1,0.719167,0.669833,0.604167,0.245033,5302
1,3,6,0,2,0.514167,0.505046,0.755833,0.110704,7836
3,9,0,0,1,0.5075,0.490537,0.695,0.178483,4274
1,1,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
1,2,1,0,2,0.303333,0.284075,0.605,0.307846,1107
4,12,4,1,1,0.255833,0.258204,0.50875,0.174754,5375
1,1,6,0,1,0.315833,0.326379,0.543333,0.210829,4023
4,11,5,1,2,0.403333,0.403392,0.6225,0.271779,4046
4,12,5,1,2,0.320833,0.321958,0.764167,0.1306,5008
4,10,6,0,1,0.484167,0.472842,0.572917,0.117537,8090
4,10,1,1,1,0.34,0.356063,0.703333,0.10635,3669
4,11,2,1,2,0.374167,0.380667,0.685,0.082725,5634
2,4,6,0,2,0.46,0.450121,0.887917,0.230725,4036
4,12,1,1,1,0.276667,0.280933,0.6375,0.172896,3403
2,3,4,1,1,0.554167,0.531567,0.83125,0.117562,6871
3,8,1,1,2,0.7525,0.710246,0.654167,0.129354,7013
3,7,6,0,1,0.755833,0.697604,0.613333,0.15735,6685
3,8,3,1,2,0.731667,0.679937,0.6575,0.135583,3574
4,12,4,1,2,0.33,0.335217,0.667917,0.132463,4128
4,10,2,1,1,0.471667,0.463375,0.622917,0.166658,4687
1,1,3,1,3,0.2175,0.2036,0.8625,0.29385,506
1,1,4,1,1,0.165,0.150883,0.470417,0.301,1406
3,8,2,1,1,0.726667,0.676779,0.686667,0.169158,6784
4,11,3,1,1,0.4,0.409079,0.758333,0.0621958,4109
4,11,4,1,2,0.341667,0.323221,0.575833,0.305362,3053
1,1,5,1,1,0.334167,0.340267,0.542083,0.167908,4098
3,9,0,0,1,0.61,0.578925,0.5475,0.224496,8227
4,12,2,1,1,0.2825,0.301138,0.59,0.14055,3523
2,4,4,1,1,0.3975,0.387604,0.46625,0.290429,5409
4,10,2,1,3,0.590833,0.542333,0.871667,0.104475,4639
1,3,0,0,1,0.325833,0.303021,0.403333,0.334571,3423
1,1,6,0,2,0.165,0.162254,0.535833,0.266804,959
3,9,6,0,1,0.608333,0.585867,0.501667,0.247521,8714
1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
1,12,5,1,2,0.326667,0.301767,0.556667,0.374383,3623
2,6,5,1,1,0.649167,0.597862,0.467917,0.175383,7736
1,1,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
1,2,4,1,2,0.316667,0.330162,0.752917,0.091425,3005
1,1,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
3,9,6,0,2,0.659167,0.611121,0.799167,0.281104,5976
1,2,6,0,1,0.346667,0.355425,0.534583,0.190929,4318
1,2,2,1,2,0.319167,0.333946,0.50875,0.141179,3922
3,8,4,1,1,0.7525,0.707088,0.659583,0.129354,7261
2,5,0,0,1,0.69,0.641425,0.697083,0.215171,6591
4,11,1,1,1,0.395,0.400871,0.75875,0.057225,4035
2,4,0,0,2,0.581667,0.551763,0.810833,0.192175,4191
3,9,4,1,1,0.546667,0.532192,0.618333,0.118167,7720
3,8,6,0,1,0.793333,0.751267,0.613333,0.257458,6824
3,7,5,1,1,0.663333,0.624371,0.59125,0.182833,5538
2,5,5,1,2,0.5125,0.4943,0.863333,0.179725,4105
4,10,3,1,1,0.514167,0.503142,0.630833,0.187821,7691
1,2,2,1,1,0.220833,0.198246,0.537917,0.36195,1530
3,8,2,1,2,0.735833,0.697621,0.70375,0.116908,7273
2,4,3,1,2,0.62,0.575142,0.835417,0.3122,3872
3,9,3,1,3,0.599167,0.544229,0.917083,0.0970208,1996
4,12,3,1,2,0.2975,0.297338,0.538333,0.162937,5319
2,5,2,1,2,0.615,0.580825,0.765833,0.118167,6073
1,2,0,0,2,0.265833,0.264521,0.687917,0.175996,2947
1,12,5,1,2,0.253333,0.255046,0.59,0.155471,3095
2,5,0,0,2,0.5625,0.536,0.867083,0.152979,4553
3,7,1,1,1,0.730833,0.684987,0.66875,0.153617,7105
4,10,5,1,1,0.4375,0.433071,0.539167,0.235092,7282
3,9,6,0,2,0.491667,0.478512,0.718333,0.189675,4511
1,2,1,1,1,0.366667,0.357954,0.490833,0.268033,4322
1,1,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
2,5,0,0,2,0.5625,0.546737,0.74,0.149879,6359
